飲料零食,數量,價錢,備註,Image URL
黑松FIN健康補給飲料-300ml,24入,$171,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7750e660/images/large/1002102500124_NR_00.jpg?sw=300&bgcolor=FFFFFF
舒跑TP250ml,24入,$168,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe474ac4c/images/large/0127965_t250ml.jpeg?sw=300&bgcolor=FFFFFF
黑松FIN健康補給飲料-300ml,6入,$43,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4def2947/images/large/1002102500106_NR_00.jpg?sw=300&bgcolor=FFFFFF
立頓檸檬紅茶TP250ml,6入,$40,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw70580d41/images/large/1003400400106.png?sw=300&bgcolor=FFFFFF
光泉茉莉茶園蘋果紅茶-250ml,6入,$45,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwaed8079e/images/large/0254437_-250ml.png?sw=300&bgcolor=FFFFFF
泰山冰鎮檸檬紅茶250ml,6入,$45,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw806d3c84/images/large/10031001001.jpg?sw=300&bgcolor=FFFFFF
波蜜漢宮蘆筍汁TP250ml,6入,$42,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4b58de88/images/large/0124490_t250ml.jpeg?sw=300&bgcolor=FFFFFF
光泉正庄蘆筍汁TP250ml,24入,$179,折扣碼滿額免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe36d5b6e/images/large/0238953_t250ml.png?sw=300&bgcolor=FFFFFF
御茶園特上奶茶250ml,24入,$149,折扣碼滿額免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa7348319/images/large/0222766_250ml.jpeg?sw=300&bgcolor=FFFFFF
[箱購]紅牛聰勁即溶乳清蛋白-可可風味2LB磅 x3桶/箱,3入,"$2,997",單品免運,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw06c7d782/watermark/tag0424-oldlife.png
[箱購] 卡那四重脆海苔哇沙米口味 92g克 x 12Bag包/箱,12入,$432,單品免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw17dce16d/images/large/1401111500101.png?sw=300&bgcolor=FFFFFF
[箱購]紅牛聰勁即溶乳清蛋白-花生巧克力風味 2磅x3桶/箱,3入,"$2,997",單品免運,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw06c7d782/watermark/tag0424-oldlife.png
紅牛聰勁即溶乳清蛋白-珍珠奶茶風味 2磅x3桶/箱,3入,"$2,997",單品免運,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw06c7d782/watermark/tag0424-oldlife.png
[箱購] 卡那四重脆蒜香牛排口味 92g克 x 12Bag包/箱,12入,$432,單品免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw32039f8c/images/large/1401111600101.png?sw=300&bgcolor=FFFFFF
[箱購]萬歲牌米果綜合果辣味 200g克 x 12包/箱,12入,"$2,388",單品免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd1cd4752/images/large/0224805.jpeg?sw=300&bgcolor=FFFFFF
紅牛聰勁即溶乳清蛋白-曼特寧2磅x3桶/箱,3入,"$2,997",單品免運,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw06c7d782/watermark/tag0424-oldlife.png
[箱購]萬歲牌米果綜合果鹽味200g(20gx10)x12Bag包,12入,"$2,388",單品免運,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd261c0e7/images/large/0224803.jpeg?sw=300&bgcolor=FFFFFF
黑松蜜桃C/TP300ml,6入,$43,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw57e1d55d/images/large/0187757_ct300ml.jpeg?sw=300&bgcolor=FFFFFF
紅牌速纖纖維飲料TP250ml,6入,$40,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb8483dac/images/large/0124488_t250ml.jpeg?sw=300&bgcolor=FFFFFF
光泉正庄蜂蜜菊花茶250ml,6入,$45,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1f0f98b8/images/large/0238947_250ml.png?sw=300&bgcolor=FFFFFF
開喜凍頂烏龍茶微糖TP 250ml,24入,$152,,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd7ac0013/images/large/0023991_t-250ml.jpeg?sw=300&bgcolor=FFFFFF
